type_name,week,id
Static Caravans,39,692
Static Caravans,40,866
Static Caravans,41,706
Static Caravans,42,970
Static Caravans,43,713
Static Caravans,44,713
Static Caravans,45,610
Static Caravans,46,462
Static Caravans,47,643
Static Caravans,48,607
Static Caravans,49,469
Static Caravans,50,473
Static Caravans,51,474
Static Caravans,52,475
Static Caravans,53,191
Touring Caravans,1,370
Touring Caravans,2,374
Touring Caravans,3,301
Touring Caravans,4,376
Touring Caravans,5,380
Touring Caravans,6,387
Touring Caravans,7,396
Touring Caravans,8,479
Touring Caravans,9,405
Touring Caravans,10,406
Touring Caravans,11,480
Touring Caravans,12,658
Touring Caravans,13,434
Touring Caravans,14,435
Touring Caravans,15,435
Touring Caravans,16,436
Touring Caravans,17,436
Touring Caravans,18,439
Touring Caravans,19,441
Touring Caravans,20,443
Touring Caravans,21,458
Touring Caravans,22,459
Touring Caravans,23,544
Touring Caravans,24,466
Touring Caravans,25,469
Touring Caravans,26,780
Touring Caravans,27,480
Touring Caravans,28,487
Touring Caravans,29,515
Touring Caravans,30,553
Touring Caravans,31,495
Touring Caravans,32,509
Touring Caravans,33,522
Touring Caravans,34,525
Touring Caravans,35,612
Touring Caravans,36,540
Touring Caravans,37,548
Touring Caravans,38,560
Touring Caravans,39,564
Touring Caravans,40,669
Touring Caravans,41,569
Touring Caravans,42,862
Touring Caravans,43,579
Touring Caravans,44,581
Touring Caravans,45,376
Touring Caravans,46,337
Touring Caravans,47,406
Touring Caravans,48,377
Touring Caravans,49,305
Touring Caravans,50,310
Touring Caravans,51,311
Touring Caravans,52,311
Touring Caravans,53,134
Towing Vehicles,1,73
Towing Vehicles,2,73
Towing Vehicles,3,73
Towing Vehicles,4,73
Towing Vehicles,5,74
Towing Vehicles,6,77
Towing Vehicles,7,77
Towing Vehicles,8,77
Towing Vehicles,9,77
Towing Vehicles,10,78
Towing Vehicles,11,80
Towing Vehicles,12,160
Towing Vehicles,13,80
Towing Vehicles,14,80
Towing Vehicles,15,80
Towing Vehicles,16,80
Towing Vehicles,17,80
Towing Vehicles,18,80
Towing Vehicles,19,80
Towing Vehicles,20,80
Towing Vehicles,21,80
Towing Vehicles,22,80
Towing Vehicles,23,80
Towing Vehicles,24,80
Towing Vehicles,25,80
Towing Vehicles,26,160
Towing Vehicles,27,80
Towing Vehicles,28,80
Towing Vehicles,29,80
Towing Vehicles,30,80
Towing Vehicles,31,80
Towing Vehicles,32,80
Towing Vehicles,33,80
Towing Vehicles,34,80
Towing Vehicles,35,80
Towing Vehicles,36,81
Towing Vehicles,37,81
Towing Vehicles,38,82
Towing Vehicles,39,84
Towing Vehicles,40,107
Towing Vehicles,41,120
Towing Vehicles,42,203
Towing Vehicles,43,123
Towing Vehicles,44,134
Towing Vehicles,45,53
Towing Vehicles,46,64
Towing Vehicles,47,128
Towing Vehicles,48,69
Towing Vehicles,49,69
Towing Vehicles,50,69
Towing Vehicles,51,69
Towing Vehicles,52,71
Towing Vehicles,53,72
Wanted,1,4
Wanted,2,4
Wanted,3,2
Wanted,4,4
Wanted,5,4
Wanted,6,4
Wanted,7,4
Wanted,8,6
Wanted,9,6
Wanted,10,6
Wanted,11,8
Wanted,12,8
Wanted,13,6
Wanted,14,6
Wanted,15,6
Wanted,16,6
Wanted,17,6
Wanted,18,6
Wanted,19,6
Wanted,20,6
Wanted,21,6
Wanted,22,6
Wanted,23,8
Wanted,24,6
Wanted,25,6
Wanted,26,10
Wanted,27,6
Wanted,28,6
Wanted,29,6
Wanted,30,8
Wanted,31,6
Wanted,32,6
Wanted,33,6
Wanted,34,6
Wanted,35,8
Wanted,36,6
Wanted,37,6
Wanted,38,6
Wanted,39,6
Wanted,40,8
Wanted,41,6
Wanted,42,8
Wanted,43,6
Wanted,44,6
Wanted,45,4
Wanted,46,4
Wanted,47,6
Wanted,48,6
Wanted,49,4
Wanted,50,4
Wanted,51,4
Wanted,52,4
Wanted,53,2
